"ViewName","ViewLanguage","ColumnName","TotalRows","MapStatus","PsseSourceSchema","PsseSourceObject","PsseColumnName","SourceExpression"
"AnalysesPortefeuille","FR","TypeRéservation","0","MAPPED","pjrep","MSP_EpmPortfolioAnalysis_UserView","BookingType","src.[BookingType]"
"AnalysesPortefeuille","FR","UtiliserDatesProjetAlternativesPourPlansRessources","0","MAPPED","pjrep","MSP_EpmPortfolioAnalysis_UserView","UseAlternateProjectDatesForResourcePlans","src.[UseAlternateProjectDatesForResourcePlans]"
"AssignmentBaselineTimephasedDataSet","EN","ResourceId","418035","MAPPED","pjrep","MSP_TimesheetLine_UserView","ResourceUID","j2.[ResourceUID]"
"AssociationsTâcheProblème","FR","IdProblème","0","MAPPED","pjrep","MSP_WssIssueTaskAssociation_UserView","IssueId","src.[IssueId]"
"AssociationsTâcheProblème","FR","IdProjet","0","MAPPED","pjrep","MSP_WssIssueTaskAssociation_UserView","ProjectId","src.[ProjectId]"
"AssociationsTâcheProblème","FR","IDProjetApparenté","0","MAPPED","pjrep","MSP_WssIssueTaskAssociation_UserView","RelatedProjectId","src.[RelatedProjectId]"
"AssociationsTâcheProblème","FR","IdTâche","0","MAPPED","pjrep","MSP_WssIssueTaskAssociation_UserView","TaskId","src.[TaskId]"
"AssociationsTâcheProblème","FR","NomProjet","0","MAPPED","pjrep","MSP_WssIssueTaskAssociation_UserView","ProjectName","src.[ProjectName]"
"AssociationsTâcheProblème","FR","NomProjetApparenté","0","MAPPED","pjrep","MSP_WssIssueTaskAssociation_UserView","RelatedProjectName","src.[RelatedProjectName]"
"AssociationsTâcheProblème","FR","NomTâche","0","MAPPED","pjrep","MSP_WssIssueTaskAssociation_UserView","TaskName","src.[TaskName]"
"AssociationsTâcheProblème","FR","Titre","0","MAPPED","pjrep","MSP_WssIssueTaskAssociation_UserView","Title","src.[Title]"
"AssociationsTâcheProblème","FR","TypeRelation","0","MAPPED","pjrep","MSP_WssIssueTaskAssociation_UserView","RelationshipType","src.[RelationshipType]"
"AssociationsTâcheRisque","FR","IdProjet","0","MAPPED","pjrep","MSP_WssRiskTaskAssociation_UserView","ProjectId","src.[ProjectId]"
"AssociationsTâcheRisque","FR","IDProjetApparenté","0","MAPPED","pjrep","MSP_WssRiskTaskAssociation_UserView","RelatedProjectId","src.[RelatedProjectId]"
"AssociationsTâcheRisque","FR","IdRisque","0","MAPPED","pjrep","MSP_WssRiskTaskAssociation_UserView","RiskId","src.[RiskId]"
"AssociationsTâcheRisque","FR","IdTâche","0","MAPPED","pjrep","MSP_WssRiskTaskAssociation_UserView","TaskId","src.[TaskId]"
"AssociationsTâcheRisque","FR","NomProjet","0","MAPPED","pjrep","MSP_WssRiskTaskAssociation_UserView","ProjectName","src.[ProjectName]"
"AssociationsTâcheRisque","FR","NomProjetApparenté","0","MAPPED","pjrep","MSP_WssRiskTaskAssociation_UserView","RelatedProjectName","src.[RelatedProjectName]"
"AssociationsTâcheRisque","FR","NomTâche","0","MAPPED","pjrep","MSP_WssRiskTaskAssociation_UserView","TaskName","src.[TaskName]"
